PRODUCT,furtherDesc,TYPE,MATERIAL,1.5,1.6,1.67,1.74,EYELT,3DFF,RFP,21BC,PDOI,PO,FDT,INDILT,BIGN
MULTIGRESSIV BIG NORM MONO,Almost the best lens in Rodenstock's single vision range. May be affected by spectacle frame tilt.,SV,ROAD,3080,3570,3620,-,N,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO PLUS,Almost the best lens in Rodenstock's anti-fatigue vision range. May be affected by spectacle frame tilt.,AF,UV 400,3100,3450,3850,5350,Y,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO PLUS,Almost the best lens in Rodenstock's anti-fatigue vision range. May be affected by spectacle frame tilt.,AF,PRO 410,-,3650,4050,-,Y,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO PLUS,Almost the best lens in Rodenstock's anti-fatigue vision range. May be affected by spectacle frame tilt.,AF,COLORMATIC,3900,4250,4650,-,Y,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO PLUS,Almost the best lens in Rodenstock's anti-fatigue vision range. May be affected by spectacle frame tilt.,AF,COLORMATIC SUN,-,4350,-,-,Y,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO PLUS,Almost the best lens in Rodenstock's anti-fatigue vision range. May be affected by spectacle frame tilt.,AF,POLARISED,-,4250,-,-,Y,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO PLUS,Almost the best lens in Rodenstock's anti-fatigue vision range. May be affected by spectacle frame tilt.,AF,ROAD,3330,3820,3870,-,Y,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV MONO 2 PLUS,A lens which offers swim reduction technology for easy adaptation into progressives.,AF,UV 400,2100,2500,2900,-,Y,Y,Y,Y,N,N,N,N,N
MULTIGRESSIV MONO 2 PLUS,A lens which offers swim reduction technology for easy adaptation into progressives.,AF,PRO 410,-,2700,3100,-,Y,Y,Y,Y,N,N,N,N,N
MULTIGRESSIV MONO 2 PLUS,A lens which offers swim reduction technology for easy adaptation into progressives.,AF,COLORMATIC,2900,3300,3700,-,Y,Y,Y,Y,N,N,N,N,N
MULTIGRESSIV MONO 2,An improvement towards stable  vision even at the peripheral view.,SV,UV 400,1800,2200,2600,-,Y,Y,Y,Y,N,N,N,N,N
MULTIGRESSIV MONO 2,An improvement towards stable  vision even at the peripheral view.,SV,PRO 410,-,2400,2800,-,Y,Y,Y,Y,N,N,N,N,N
MULTIGRESSIV MONO 2,An improvement towards stable  vision even at the peripheral view.,SV,COLORMATIC,2600,3000,3400,-,Y,Y,Y,Y,N,N,N,N,N
COSMOLIT FREE,An entry level to experience Rodenstock's premium single vision.,SV,UV 400,1500,1900,2300,-,N,Y,N,N,N,N,N,N,N
COSMOLIT FREE,An entry level to experience Rodenstock's premium single vision.,SV,PRO 410,-,2100,2500,-,N,Y,N,N,N,N,N,N,N
COSMOLIT FREE,An entry level to experience Rodenstock's premium single vision.,SV,COLORMATIC,2300,2700,3100,-,N,Y,N,N,N,N,N,N,N
